group,team,p1,p2,p3,p4
A,Mexico,100,0,0,0
A,South Africa,0,100,0,0
A,South Korea,0,0,100,0
A,Czechia,0,0,0,100
B,Switzerland,100,0,0,0
B,Canada,0,100,0,0
B,Bosnia,0,0,100,0
B,Qatar,0,0,0,100
C,Brazil,100,0,0,0
C,Morocco,0,100,0,0
C,Scotland,0,0,100,0
C,Haiti,0,0,0,100
D,USA,100,0,0,0
D,Australia,0,100,0,0
D,Paraguay,0,0,100,0
D,Turkiye,0,0,0,100
E,Germany,100,0,0,0
E,Cote d'Ivoire,0,100,0,0
E,Ecuador,0,0,100,0
E,Curacao,0,0,0,100
F,Netherlands,100,0,0,0
F,Japan,0,100,0,0
F,Sweden,0,0,100,0
F,Tunisia,0,0,0,100
G,Egypt,61.23,17.54,21.23,0
G,Belgium,27.41,59.31,7.42,5.86
G,Iran,11.36,17.99,67.71,2.94
G,New Zealand,0,5.16,3.64,91.20
H,Spain,84.74,9.65,5.61,0
H,Cabo Verde,2.70,53.33,19.42,24.56
H,Uruguay,12.56,7.50,69.38,10.56
H,Saudi Arabia,0,29.53,5.59,64.88
I,France,79.94,20.06,0,0
I,Norway,20.06,79.94,0,0
I,Senegal,0,0,91.20,8.80
I,Iraq,0,0,8.80,91.20
J,Argentina,100,0,0,0
J,Austria,0,73.10,26.90,0
J,Algeria,0,26.90,73.10,0
J,Jordan,0,0,0,100
K,Colombia,49.47,50.53,0,0
K,Portugal,50.53,49.24,0.21,0
K,Congo DR,0,0.22,69.05,30.72
K,Uzbekistan,0,0,30.72,69.28
L,England,84.61,15.06,0.33,0
L,Ghana,4.83,38.87,56.30,0
L,Croatia,10.56,46.07,43.37,0
L,Panama,0,0,0,100
